<<<<<<< HEAD
CategoryID,CategoryName,Description
1,Beverages,Soft drinks coffee teas beers and ales
2,Condiments,Sweet and savory sauces relishes spreads and seasonings
3,Confections,Desserts candies and sweet breads
4,Dairy Products,Cheeses
5,Grains/Cereals,Breads crackers pasta and cereal
6,Meat/Poultry,Prepared meats
7,Produce,Dried fruit and bean curd
8,Seafood,Seaweed and fish
=======
CategoryID,CategoryName,Description
1,Beverages,Soft drinks coffee teas beers and ales
2,Condiments,Sweet and savory sauces relishes spreads and seasonings
3,Confections,Desserts candies and sweet breads
4,Dairy Products,Cheeses
5,Grains/Cereals,Breads crackers pasta and cereal
6,Meat/Poultry,Prepared meats
7,Produce,Dried fruit and bean curd
8,Seafood,Seaweed and fish
>>>>>>> faecfc5bd35e0c9e68f76409f8510f35eb5885e9
